event_type,name,date,link,hide,notes
"exam","Paper presentations","2025-11-19T10:00:00","https://drive.google.com/drive/folders/1d2TPDviup5ZsA-TrwRHdMa6jneLAtyV6?usp=sharing",True,
"exam","Paper presentations","2025-11-20T13:00:00","https://drive.google.com/drive/folders/1d2TPDviup5ZsA-TrwRHdMa6jneLAtyV6?usp=sharing",True,
"exam","Paper presentations","2025-11-25T13:00:00","https://drive.google.com/drive/folders/1d2TPDviup5ZsA-TrwRHdMa6jneLAtyV6?usp=sharing",True,
"exam","Paper presentations","2025-11-26T10:00:00","https://drive.google.com/drive/folders/1d2TPDviup5ZsA-TrwRHdMa6jneLAtyV6?usp=sharing",True,
"exam","Paper presentations","2025-11-27T13:00:00","https://drive.google.com/drive/folders/1d2TPDviup5ZsA-TrwRHdMa6jneLAtyV6?usp=sharing",True,
"exam","Paper presentations","2025-12-02T13:00:00","https://drive.google.com/drive/folders/1d2TPDviup5ZsA-TrwRHdMa6jneLAtyV6?usp=sharing",True,
"exam","Paper presentations","2025-12-03T10:00:00","https://drive.google.com/drive/folders/1d2TPDviup5ZsA-TrwRHdMa6jneLAtyV6?usp=sharing",True,
"exam","Paper presentations","2025-12-04T13:00:00","https://drive.google.com/drive/folders/1d2TPDviup5ZsA-TrwRHdMa6jneLAtyV6?usp=sharing",True,
"exam","Paper presentations","2025-12-09T13:00:00","https://drive.google.com/drive/folders/1d2TPDviup5ZsA-TrwRHdMa6jneLAtyV6?usp=sharing",True,
"exam","Paper presentations","2025-12-10T10:00:00","https://drive.google.com/drive/folders/1d2TPDviup5ZsA-TrwRHdMa6jneLAtyV6?usp=sharing",True,
"exam","Paper presentations","2025-12-11T13:00:00","https://drive.google.com/drive/folders/1d2TPDviup5ZsA-TrwRHdMa6jneLAtyV6?usp=sharing",True,
"exam","Paper presentations","2025-12-16T13:00:00","https://drive.google.com/drive/folders/1d2TPDviup5ZsA-TrwRHdMa6jneLAtyV6?usp=sharing",True,
"due","Project delivery","2026-01-07T22:59:00","/project",True,